Divisio	Genus 	Species	Sdo	Top	Pho	Slo	Dop	Nop	Pop	Bim	N2	Buo	Pyr	Mus	Lav	Npo	Nso	Sic	Cal	Cel 	Nad	fyc	clc	clb	Gwr	Res	N/T	NxT	C	S	R	Mix	aut	het	Mot	Pox	HAB	Col	Chn	Lar	Sml	Pel	Thy	Abn	GA2	GA3	Com	Sim	SVR	Biv	ESD	DSI
Bacillariophyta	Climacosphenia 	Climacosphenia moniligera	0	0	1	1	1	0	1	0	0	0	1	0	1	1	1	1	0	0	0	0	1	0	0	0	0	1	0	0	1	0	1	0	0	0	0	0	0	1	0	1	0	0	1	0	0	1	0	1	0	1
Bacillariophyta	Coscinodiscus	Coscinodiscus granii 	0	0	1	1	1	0	1	0,333	0	0	1	0	1	1	1	1	0	0	0	0	1	0	0	0	0	1	0	0	1	0	1	0	0	0	0	0	0	1	0	1	0	0	1	0	0	1	0	1	1	0
Bacillariophyta	Coscinodiscus	Coscinodiscus perforatus	0	0	1	1	1	0	1	0,5	0	0	1	0	1	1	1	1	0	0	0	0	1	0	0	0	1	1	0	0	1	0	1	0	0	0	0	0	0	1	0	1	0	0,167	1	0	0	1	0	1	1	0
Bacillariophyta	Nitzschia	Nitzschia longissima 	0	1	1	1	1	0	1	0,167	0	0	1	0	1	1	1	1	0	0	0	0	1	0	0	0	1	1	0	0	1	0	1	1	0	0	1	0	0	1	0	0	1	0,167	1	0	0	1	1	0	0	0
Bacillariophyta	Pseudo-nitzschia 	Pseudo-nitzschia pungens 	0	1	1	1	1	1	1	0	0	0	1	0	0	1	1	1	0	0	0	0	1	0	0	1	1	1	0	0	1	0	1	0	0	1	1	1	1	1	0	1	0	0	1	0	0	1	1	1	0	1
Bacillariophyta	Proboscia	Proboscia alata 	0	1	1	1	1	1	1	0	0	0	1	0	1	1	1	1	0	0	0	0	1	0	0	1	1	1	0	0	1	0	1	0	0	0	1	1	1	1	0	1	0	0	1	0	0	1	1	1	0	1
Bacillariophyta	Pseudosolenia	Pseudosolenia calcar-avis 	1	1	1	0	1	1	1	0	0	0	1	0	1	1	1	1	0	0	0	0	1	0	0	0	1	1	0	0	1	0	1	0	0	0	1	1	1	1	0	1	0	0	1	0	0	1	1	1	1	1
Bacillariophyta	Thalassionema	Thalassionema nitzschioides 	1	1	1	1	0	0	1	0	0	0	0	0	0	1	0	1	0	0	0	0	1	0	0	1	1	1	0	0	1	0	1	0	0	0	1	1	0	1	0	1	0	0	1	0	0	1	1	0	0	0
Bacillariophyta	Thalassiothrix	Thalassiothrix mediterranea	0	0	1	1	1	0	0	0	0	0	0	0	1	1	0	1	0	0	0	0	1	0	0	0	0	1	0	0	1	0	1	0	0	0	0	1	0	1	0	1	0	0	1	0	0	1	1	1	0	0
Chlorophyta	Desmodesmus	Desmodesmus elegans 	0	1	1	1	1	0	0	0	0	0	1	0	0	1	1	0	0	0	0	0	0	1	0	0	0	1	1	0	0	0	1	0	0	0	0	1	0	0	1	1	0	0	0	1	1	0	0	0	0	0
